routeId;loc;tripId;seed;avgSpeed;timeloss;route_length;elevation_up;elevation_down;trafficScale;numOfStops;emission
2400;nap_gellert_e;C6359838.0;1;4.563877551020408;69.93;673.45;8.320000000000007;-10.730000000000004;0.3;2;267.68111866995434
150;nap_gellert_e;C7246892.0;1;6.863020833333334;26.94;660.1;2.460000000000008;-2.3200000000000074;0.3;2;222.16149681285705
270;nap_gellert_e;C734723628.0;1;5.729323899371069;119.93;3647.97;105.73000000000002;-68.56000000000002;0.3;12;1140.6084943234612
2120;nap_gellert_e;C745091034.0;1;2.4365822784810125;1236.73;4048.13;22.459999999999965;-79.69999999999996;0.3;11;2167.7696069772533
2120;nap_gellert_e;C74509178.0;1;4.027150153217569;574.89;3968.76;81.24000000000002;-24.680000000000035;0.3;11;1808.2744734035607
2120;nap_gellert_e;C74509586.0;1;2.222759002770083;1395.48;4023.52;81.34000000000002;-24.78000000000003;0.3;11;2195.3561595414503
2121;nap_gellert_e;C74509688.0;1;1.5915662172878668;1971.62;4017.61;81.59999999999997;-25.03999999999997;0.3;11;2565.353922899498
1070;nap_gellert_e;C74750329.0;1;5.808993174061433;161.29;3407.49;98.83999999999996;-101.55999999999996;0.3;5;1019.2203884060142
530;nap_gellert_e;C76194424.0;1;4.854349376114082;276.07;2727.45;19.99000000000004;-29.03000000000003;0.3;7;1075.5323837187002
530;nap_gellert_e;C761944419.0;1;5.268975069252078;163.73;1904.06;22.110000000000014;-16.830000000000013;0.3;6;707.6668286513188
530;nap_gellert_e;C761944437.0;1;5.003363970588235;269.22;2727.45;19.909999999999982;-28.939999999999984;0.3;7;1038.0892039852467
580;nap_gellert_e;C7644455.0;1;3.5551485148514854;182.94;1077.56;18.100000000000023;-10.63000000000001;0.3;3;489.4624272829906
1140;nap_gellert_e;C7664711174.0;1;3.489675324675325;305.88;1612.25;12.059999999999988;-21.739999999999995;0.3;4;664.7005397672076
2130;nap_gellert_e;C76647148.0;1;3.857105263157895;261.86;1612.25;12.02999999999996;-21.709999999999965;0.3;4;693.3248319013179
1140;nap_gellert_e;C7664715100.0;1;2.5309576138147563;480.86;1612.25;12.019999999999996;-21.700000000000003;0.3;4;783.186194043869
2130;nap_gellert_e;C766473397.0;1;4.44404958677686;106.32;1077.56;18.00999999999999;-10.56999999999998;0.3;3;421.2956426658103
2100;nap_gellert_e;C76796162.0;1;6.764375;12.7;433.36;6.650000000000006;-3.180000000000007;0.3;2;131.62344980931618
